City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
106,Voh,0,NC, 03/15/2021,84,-20.9667,164.7,74.3,3.2
107,Port Lincoln,74,AU, 03/15/2021,87,-34.7333,135.8667,62.76,7.23
108,Camacha,20,PT, 03/15/2021,72,33.0833,-16.3333,60.8,13.8
109,Saint-Philippe,0,RE, 03/15/2021,73,-21.3585,55.7679,78.8,6.91
110,Puro,38,PH, 03/15/2021,83,12.4841,123.3827,78.82,4.16
111,Irinjalakuda,0,IN, 03/15/2021,89,10.3333,76.2333,80.6,2.3
112,Yumen,0,CN, 03/15/2021,61,40.2833,97.2,29.57,12.21
113,Thompson,75,CA, 03/15/2021,39,55.7435,-97.8558,42.8,17.27
114,Puerto Ayora,40,EC, 03/15/2021,78,-0.7393,-90.3518,82.4,6.91
115,Acapulco,20,MX, 03/15/2021,65,16.8634,-99.8901,84.2,6.91
116,Luderitz,0,NA, 03/15/2021,68,-26.6481,15.1594,66.15,24
117,Barrow,40,US, 03/15/2021,71,71.2906,-156.7887,-2.2,19.57
118,Iqaluit,40,CA, 03/15/2021,63,63.7506,-68.5145,-16.01,16.11
119,Hualmay,59,PE, 03/15/2021,60,-11.0964,-77.6139,78.31,11.95
120,Beira,20,MZ, 03/15/2021,83,-19.8436,34.8389,78.01,4.61
121,Klaksvik,75,FO, 03/15/2021,93,62.2266,-6.589,41,8.05
122,Pangnirtung,1,CA, 03/15/2021,76,66.1451,-65.7125,-20.2,2.17
123,Cabo San Lucas,20,MX, 03/15/2021,40,22.8909,-109.9124,80.01,10.36
124,Tuatapere,76,NZ, 03/15/2021,91,-46.1333,167.6833,48,7
125,Dalen,37,NL, 03/15/2021,83,52.6992,6.7556,43,4
126,Bacabal,99,BR, 03/15/2021,91,-4.2917,-44.7917,80.89,4.43
127,Beloha,0,MG, 03/15/2021,74,-25.1667,45.05,76.06,11.97
128,Dunedin,41,NZ, 03/15/2021,69,-45.8742,170.5036,52,20
129,Ginir,69,ET, 03/15/2021,88,7.1333,40.7,58.68,4.36
130,Vao,50,NC, 03/15/2021,82,-22.6667,167.4833,76.15,12.39
131,Mandali,87,IQ, 03/15/2021,31,33.7499,45.5541,67.68,7.65
132,Hatillo,75,PR, 03/15/2021,65,18.4863,-66.8254,80.6,16.11
133,Hasaki,40,JP, 03/15/2021,93,35.7333,140.8333,37.4,3.44
134,Grand Gaube,22,MU, 03/15/2021,80,-20.0064,57.6608,80.01,1.99
135,Norman Wells,90,CA, 03/15/2021,77,65.282,-126.8329,-7.6,8.05
136,Tura,0,IN, 03/15/2021,33,25.5198,90.2201,69.76,3.22
137,Chuy,50,UY, 03/15/2021,72,-33.6971,-53.4616,73.2,10.56
138,Coihaique,20,CL, 03/15/2021,45,-45.5752,-72.0662,64.4,10.36
139,Garowe,100,SO, 03/15/2021,78,8.4054,48.4845,72.86,14.43
140,Vostok,100,RU, 03/15/2021,97,46.4856,135.8833,26.02,3.22
141,Kutum,1,SD, 03/15/2021,15,14.2,24.6667,76.98,12.71
142,Ardesen,90,TR, 03/15/2021,44,41.1911,40.9875,59,6.91
143,Provideniya,90,RU, 03/15/2021,92,64.3833,-173.3,10.4,5.64
144,Fethiye,75,TR, 03/15/2021,82,36.6217,29.1164,60.8,25.32
145,Phan Thiet,6,VN, 03/15/2021,87,10.9333,108.1,70,4.52
146,Kruisfontein,100,ZA, 03/15/2021,90,-34.0033,24.7314,64.99,9.64
147,Tocopilla,14,CL, 03/15/2021,54,-22.092,-70.1979,73.4,6.85
148,Aldan,19,RU, 03/15/2021,88,58.6031,125.3894,-6.81,7.05
149,Kavaratti,92,IN, 03/15/2021,73,10.5669,72.642,82.47,10.4
150,Ayan,100,RU, 03/15/2021,91,56.45,138.1667,19.35,10.85
151,Virginia Beach,40,US, 03/15/2021,23,36.8529,-75.978,46.4,11.5
152,Ponta Do Sol,20,PT, 03/15/2021,67,32.6667,-17.1,62.6,18.41
153,Ribeira Grande,75,PT, 03/15/2021,94,38.5167,-28.7,60.8,6.91
154,Itarema,38,BR, 03/15/2021,72,-2.9248,-39.9167,81.99,10.25
155,Ascension,40,US, 03/15/2021,54,30.2169,-90.9001,84.2,13.8
156,Digras,0,IN, 03/15/2021,24,20.1167,77.7167,78.01,6.02
157,Saldanha,0,ZA, 03/15/2021,72,-33.0117,17.9442,64.4,11.5
158,Sayhat,0,SA, 03/15/2021,63,26.4852,50.0405,64.4,5.75
159,Khartoum,0,SD, 03/15/2021,13,15.5518,32.5324,88,12.91
160,La Rioja,75,ES, 03/15/2021,62,42.25,-2.5,50,5.75
161,Poquoson,75,US, 03/15/2021,42,37.1224,-76.3458,46,14.97
162,Lillehammer,93,NO, 03/15/2021,86,61.1146,10.4674,30.99,3.78
163,Yuli,79,NG, 03/15/2021,28,9.6989,10.2744,88.27,5.28
164,Genhe,0,CN, 03/15/2021,84,50.7833,121.5167,0.3,6.46
165,Denpasar,100,ID, 03/15/2021,94,-8.65,115.2167,77,2.3
166,Hay River,0,CA, 03/15/2021,56,60.8156,-115.7999,10.4,11.5
167,Airai,87,TL, 03/15/2021,92,-8.9266,125.4092,67.35,2.21
168,Leningradskiy,100,RU, 03/15/2021,87,69.3833,178.4167,-3.53,2.24
169,Carnarvon,48,AU, 03/15/2021,78,-24.8667,113.6333,80.6,8.05
